DCU_ID	DOSE	ADMINISTRATION	DISEASE	EFFICACY	EFFECT_TYPE	STAGE	SOURCE	ICD10_S	ICD10_L	EFFECTS_T	TOXICITY	OVERALL
DCU08838	Fluticasone Propionate: 200 mcg; Montelukast: 10 mg	null	Rhinitis, Allergic, Perennial	Non-efficacious	Unclear	Phase 4	Literature curated	J30.9 Allergic rhinitis, unspecified	J00-J99   Diseases of the respiratory system; J30-J39  Other diseases of upper respiratory tract; J30  Vasomotor and allergic rhinitis; J30.9 Allergic rhinitis, unspecified	null	null	null
DCU08841	Budesonide: 400 mcg; Terbutaline: 0.4 mg	null	Exercise Induced Asthma	Efficacious	Unclear	Phase 2	NCT00989833	J45.990 Exercise induced bronchospasm	J00-J99   Diseases of the respiratory system; J40-J47  Chronic lower respiratory diseases; J45  Asthma; J45.990 Exercise induced bronchospasm	After 6 weeks of treatment with regular budesonide or budesonide+formoterol on demand the maximum post-exercise forced expiratory volume in 1 s fall, 24 h after the last medication, was 6.6% (mean; 95% CI -10.3 to -3.0) and 5.4% (-8.9 to -1.8) smaller, respectively. This effect was superior to inhalation of terbutaline on demand (+1.5%; -2.1 to +5.1).	null	effective and well tolerated
DCU08848	null	null	Adult Acute Megakaryoblastic Leukemia (M7)	Need further study	Unclear	Phase 1	NCT00112853	C94.20 Acute megakaryoblastic leukemia not having achieved remission	C00-D48  Neoplasms; C81-C96  Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue; C94  Other leukemias of specified cell type; C94.20 Acute megakaryoblastic leukemia not having achieved remission	null	null	null
DCU08851	Cisplatin: 75 mg/m2; Gefitinib: 250 mg; Pemetrexed: 500 mg/m2	null	Non-small Cell Lung Cancer	Efficacious	Unclear	Phase 2	NCT00409006	C34.90 Malignant neoplasm of unspecified part of unspecified bronchus or lung	C00-D48  Neoplasms; C30-C39  Malignant neoplasms of respiratory and intrathoracic organs; C34  Malignant neoplasm of bronchus and lung; C34.90 Malignant neoplasm of unspecified part of unspecified bronchus or lung	null	null	null
DCU06282	Enoxaparin: 40 mg; Rosuvastatin: 20 mg	null	Deep Vein Thrombosis	Efficacious	Unclear	Phase 4	NCT01021488	I80.2 Phlebitis and thrombophlebitis of other deep vessels of lower extremities	I00-I99  Diseases of the circulatory system; I80-I89  Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified; I80  Phlebitis and thrombophlebitis; I80.2 Phlebitis and thrombophlebitis of other deep vessels of lower extremities	null	null	null
DCU08789	Cytarabine: 20 mg/m2; Imatinib: 400 mg; Interferon alfa-2b: 5MU	null	Chronic Myelogenous Leukemia	Efficacious	Unclear	Phase 3	NCT00333840	C92.1 Chronic myeloid leukemia, BCR/ABL-positive	C00-D48  Neoplasms; C81-C96  Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue; C92  Myeloid leukaemia; C92.1 Chronic myeloid leukemia, BCR/ABL-positive	Landmark analysis at 3 mo by molecular response showed that the cumulative proportions of 3-y event-free survival (EFS) for 3-mo BCR-ABL levels was 95% for those with å_1%, 98% for >1% to 10%, and 61% for those with >10% (P = .001). The corresponding values by cytogenetic responses were 97% if Ph+ = 0%, 89% if Ph+ = 1% to 35%, and 81% if Ph+ >35% (P = .001).	null	higher rates of deep early responses
DCU08749	Budesonide: 320/d mcg; Formoterol: 9/d mcg	null	Asthma	Efficacious	Unclear	Phase 3	NCT00419952	J45 Asthma	J00-J99   Diseases of the respiratory system; J40-J47  Chronic lower respiratory diseases; J45  Asthma	null	null	null
DCU08750	Budesonide: 320/d mcg; Formoterol: 9/d mcg	null	Asthma	Efficacious	Unclear	Phase 3	NCT00419757	J45 Asthma	J00-J99   Diseases of the respiratory system; J40-J47  Chronic lower respiratory diseases; J45  Asthma	During randomized treatment, small, but not statistically significant, improvements favored BUD/FM vs BUD (am peak expiratory flow [PEF; primary efficacy variable] 25.4 vs 19.9 L/min; pm PEF 20.6 vs 15.8 L/min; predose FEV(1) 0.16 vs 0.11 L; rescue medication use -0.7 vs -0.6 inhalations/d).	null	no significant improvement compared with monotherapy
DCU08855	Risperidoene: 6 mg; Tropisetron: 10 mg	null	Smoking Cessation	Efficacious	Unclear	Phase 3	NCT00435370	F17.203 Nicotine dependence unspecified, with withdrawal	F00-F99  Mental and behavioural disorders; F10-F19  Mental and behavioural disorders due to psychoactive substance use; F17  Nicotine dependence; F17.203 Nicotine dependence unspecified, with withdrawal	null	null	null
DCU10465	Esomeprazole magnesium: eq 20 mg base; Naproxen: 500mg	tablet, delayed release;oral	It is indicated for the relief of signs and symptoms of osteoarthritis, rheumatoid arthritis and ankylosing spondylitis and to decrease the risk of developing gastric ulcers in patients at risk of developing NSAID-associated gastric ulcers.	Efficacious	null	Approved	FDA orange book	M15  Polyosteoarthritis; M06.9 Rheumatoid arthritis, unspecified	M00-M99   Diseases of the musculoskeletal system and connective tissue; M15-M19  Arthrosis; M15  Polyosteoarthritis | M00-M99   Diseases of the musculoskeletal system and connective tissue; M05-M14  Inflammatory polyarthropathies; M06  Other rheumatoid arthritis; M06.9 Rheumatoid arthritis, unspecified	null	null	null
DCU10466	Estradiol cypionate: 5mg/0.5ml; Medroxyprogesterone acetate: 25mg/0.5ml	injectable;intramuscular	Prevent pregnancy	Efficacious	null	Approved	FDA orange book	null	null	null	null	null
DCU10467	Estradiol cypionate: 2 mg/ml; Testosterone cypionate: 50 mg/ml	injectable;injection	Vasomotor symptoms of menopause	Efficacious	null	Approved	FDA orange book	N95.1 Menopausal and female climacteric states	N00-N99   Diseases of the genitourinary system; N80-N98  Noninflammatory disorders of female genital tract; N95  Menopausal and other perimenopausal disorders; N95.1 Menopausal and female climacteric states	null	null	null
DCU10468	Estradiol valerate: 8 mg/ml; Testosterone enanthate: 180 mg/ml	injectable;injection	Prevent pregnancy	Efficacious	null	Approved	FDA orange book	null	null	null	null	null
DCU10469	Estradiol valerate: 4 mg/ml; Testosterone enanthate: 90 mg/ml	injectable;injection	Prevent pregnancy	Efficacious	null	Approved	FDA orange book	null	null	null	null	null
DCU10470	estrogens, conjugated: 0.3 mg; Medroxyprogesterone acetate: 1.5 mg	tablet;oral-28	Symptoms of menopause	Efficacious	null	Approved	FDA orange book	N95.1 Menopausal and female climacteric states	N00-N99   Diseases of the genitourinary system; N80-N98  Noninflammatory disorders of female genital tract; N95  Menopausal and other perimenopausal disorders; N95.1 Menopausal and female climacteric states	null	null	null
DCU10471	estrogens, conjugated: 0.45 mg; Medroxyprogesterone acetate: 1.5 mg	tablet;oral-28	Symptoms of menopause	Efficacious	null	Approved	FDA orange book	N95.1 Menopausal and female climacteric states	N00-N99   Diseases of the genitourinary system; N80-N98  Noninflammatory disorders of female genital tract; N95  Menopausal and other perimenopausal disorders; N95.1 Menopausal and female climacteric states	null	null	null
DCU10472	estrogens, conjugated: 0.45 mg; Meprobamate: 200 mg	tablet;oral	Symptoms of menopause	Efficacious	null	Approved	FDA orange book	N95.1 Menopausal and female climacteric states	N00-N99   Diseases of the genitourinary system; N80-N98  Noninflammatory disorders of female genital tract; N95  Menopausal and other perimenopausal disorders; N95.1 Menopausal and female climacteric states	null	null	null
DCU10473	estrogens, conjugated: 0.45 mg; Meprobamate: 400 mg	tablet;oral	Symptoms of menopause	Efficacious	null	Approved	FDA orange book	N95.1 Menopausal and female climacteric states	N00-N99   Diseases of the genitourinary system; N80-N98  Noninflammatory disorders of female genital tract; N95  Menopausal and other perimenopausal disorders; N95.1 Menopausal and female climacteric states	null	null	null
DCU10474	Ethinyl estradiol: 0.035 mg; Ferrous fumarate: 75 mg; Norethindrone: 1 mg	tablet;oral-28	Prevent pregnancy	Efficacious	null	Approved	FDA orange book	null	null	null	null	null
DCU10477	Ethinyl estradiol: 0.035 mg; Norgestimate: 0.25 mg	tablet;oral-21	Prevent pregnancy	Efficacious	null	Approved	FDA orange book	null	null	null	null	null
DCU10478	Ethynodiol diacetate: 1 mg; Mestranol: 0.1 mg	tablet;oral-20	Prevent pregnancy	Efficacious	null	Approved	FDA orange book	null	null	null	null	null
DCU10479	Ferrous sulfate: 182 mg; Folic acid: 0.33 mg	capsule;oral	For treatment of folic acid deficiency, megaloblastic anemia and in anemias of nutritional supplements, pregnancy, infancy, or childhood.	Efficacious	null	Approved	FDA orange book	D51.9 Vitamin B12 deficiency anemia, unspecified	D50-D89  Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism; D50-D53  Nutritional anaemias; D51  Vitamin B12 deficiency anaemia; D51.9 Vitamin B12 deficiency anemia, unspecified	null	null	null
DCU10480	Fluocinolone acetonide: 0.025%; Neomycin sulfate: eq 3.5mg base/gm	cream;topical	It is used to treat the inflammation and itching caused by a number of skin conditions such as allergic reactions, eczema, seborrhea, and psoriasis.	Efficacious	null	Approved	FDA orange book	L21 Seborrheic dermatitis; B96.89 Other specified bacterial agents as the cause of diseases classified elsewhere	L00-L99   Diseases of the skin and subcutaneous tissue; L20-L30  Dermatitis and eczema; L21  Seborrheic dermatitis | A00-B99  Certain infectious and parasitic diseases; B95-B98  Bacterial, viral and other infectious agents; B96  Other specified bacterial agents as the cause of diseases classified to other chapters; B96.89 Other specified bacterial agents as the cause of diseases classified elsewhere	null	null	null
DCU10481	Fluorometholone acetate: 0.1%; Tobramycin: 0.3%	suspension/drops;ophthalmic	For the treatment of pseudomonas aeruginosa lung infections.	Efficacious	null	Approved	FDA orange book	B96.5 Pseudomonas (aeruginosa) (mallei) (pseudomallei) as the cause of diseases classified elsewhere	A00-B99  Certain infectious and parasitic diseases; B95-B98  Bacterial, viral and other infectious agents; B96  Other specified bacterial agents as the cause of diseases classified to other chapters; B96.5 Pseudomonas (aeruginosa) (mallei) (pseudomallei) as the cause of diseases classified elsewhere	null	null	null
DCU10482	Fluorometholone: 0.1%; Sulfacetamide sodium: 10%	suspension/drops;ophthalmic	It is indicated for steroid-responsive inflammatory ocular conditions for which a corticosteroid is indicated and where superficial bacterial ocular infection or a risk of bacterial ocular infection exists.	Efficacious	null	Approved	FDA orange book	H49-H52  Disorders of ocular muscles, binocular movement, accommodation and refraction	H49-H52  Disorders of ocular muscles, binocular movement, accommodation and refraction	null	null	null
DCU10486	Flurandrenolide: 0.05%; Neomycin sulfate: eq 3.5mg base/gm	cream;topical	Inflammation and itching due to certain skin conditions	Efficacious	null	Approved	FDA orange book	B96.89 Other specified bacterial agents as the cause of diseases classified elsewhere	A00-B99  Certain infectious and parasitic diseases; B95-B98  Bacterial, viral and other infectious agents; B96  Other specified bacterial agents as the cause of diseases classified to other chapters; B96.89 Other specified bacterial agents as the cause of diseases classified elsewhere	null	null	null
DCU08860	Aflibercept: 6 mg/kg; Dexamethasone: 8 mg; Docetaxel: 75 mg/m2	null	Carcinoma	Efficacious	Unclear	Phase 3	NCT00532155	C34.90 Malignant neoplasm of unspecified part of unspecified bronchus or lung	C00-D48  Neoplasms; C30-C39  Malignant neoplasms of respiratory and intrathoracic organs; C34  Malignant neoplasm of bronchus and lung; C34.90 Malignant neoplasm of unspecified part of unspecified bronchus or lung	null	null	null
DCU08864	Sorafenib: 400 mg; Sunitinib: 50 mg	null	Renal Cell Carcinoma	Efficacious	Unclear	Phase 3	NCT00732914	C64 Malignant neoplasm of kidney, except renal pelvis	C00-D48  Neoplasms; C64-C68  Malignant neoplasms of urinary tract; C64  Malignant neoplasm of kidney, except renal pelvis	null	null	null
DCU08869	Cyclophosphamide: 600 mg/m2; Doxorubicin: 60 mg/m2; Lapatinib: 750 mg; Paclitaxel: 80 mg/m2; Trastuzumab: 2 mg/kg	null	Invasive Breast Cancer	Need further study	Unclear	Phase 3	NCT00486668	C50 Malignant neoplasm of breast	C00-D48  Neoplasms; C50-C50  Malignant neoplasm of breast; C50  Malignant neoplasm of breast	Breast pathological complete response was noted in 93 (52.5%, 95% CI 44.9-59.5) of 177 patients in the trastuzumab group, 91 (53.2%, 45.4-60.3) of 171 patients in the lapatinib group (p=0.9852); and 106 (62.0%, 54.3-68.8) of 171 patients in the combination group (p=0.095).	null	higher CR rate compared with monotherapy
DCU08870	Memantine: 5/20 mg; Vitamin d: 0.1 MU	null	Alzheimer Disease	Efficacious	Unclear	Phase 3	NCT01409694	"G30 Alzheimer's disease"	"G00-G99  Diseases of the nervous system; G30-G32  Other degenerative diseases of the nervous system; G30  Alzheimer's disease"	null	null	null
DCU08889	null	null	Hypertriglyceridemia	Efficacious	Unclear	Phase 4	NCT00246636	E78 Disorders of lipoprotein metabolism and other lipidemias	E00-E90  Endocrine, nutritional and metabolic diseases; E70-E90  Metabolic disorders; E78  Disorders of lipoprotein metabolism and other lipidaemias	null	null	null
DCU08899	Golimumab: 50-100 mg/ml; Methotrexate: 10 mg/ml	null	Rheumatoid Arthritis	Efficacious	Unclear	Phase 2	NCT00207714	M05 Rheumatoid arthritis with rheumatoid factor	M00-M99   Diseases of the musculoskeletal system and connective tissue; M05-M14  Inflammatory polyarthropathies; M05  Seropositive rheumatoid arthritis	null	null	null
DCU08904	null	null	Primary Breast Cancer	Efficacious	Unclear	Phase 2	Literature curated	C50 Malignant neoplasm of breast	C00-D48  Neoplasms; C50-C50  Malignant neoplasm of breast; C50  Malignant neoplasm of breast	null	null	null
DCU08929	Exemestane: 25 mg; Tamoxifen: 20 mg	null	Breast Neoplasms	Efficacious	Unclear	Phase 3	NCT00036270	C50 Malignant neoplasms of breast	C00-D48  Neoplasms; C50-C50  Malignant neoplasm of breast; C50  Malignant neoplasm of breast	null	null	null
DCU08932	Lamotrigine: 25-200 mg; Paroxetine: 10-50 mg	null	Unipolar Depression	Non-efficacious	Unclear	No information	NCT00901407	F32 Major depressive disorder, single episode	F00-F99  Mental and behavioural disorders; F30-F39  Mood [affective] disorders; F32  Major depressive disorder, single episode	Overall, 5% were HER1-positive, 13% HER2-positive, and 21% HER3-positive; 32% (n=1351) overexpressed at least one HER receptor. In the HER1-3-negative subgroup, the hazard ratio (HR) for upfront exemestane vs tamoxifen at 2.75 years was 0.67 (95% confidence interval (CI), 0.52-0.87), in the HER1-3-positive subgroup, the HR was 1.15 (95% CI, 0.85-1.56).	null	effective and well tolerated
DCU08940	Emtricitabine 200mg/TDF 300mg; Efavirenz: 600mg; Enfuvirtide 90mg	null	HIV Infections	Efficacious	Unclear	Phase 3	NCT00454337	B20  Human immunodeficiency virus [HIV] disease	A00-B99  Certain infectious and parasitic diseases; B20-B24  Human immunodeficiency virus (HIV) disease; B20  Human immunodeficiency virus (HIV) disease resulting in infectious and parasitic diseases	null	null	null
DCU08946	Bevacizumab: 15 mg/kg; Capecitabine: 1 g/m2; Trastuzumab: 8 mg/kg	null	Breast Cancer	Efficacious	Unclear	Phase 2	NCT00811135	C50 Malignant neoplasms of breast	C00-D48  Neoplasms; C50-C50  Malignant neoplasm of breast; C50  Malignant neoplasm of breast	The overall response rate, the primary endpoint, was 73% (95% confidence interval [CI], 62%-82%), comprising 7% complete and 66% partial responses. The median progression-free survival interval was 14.4 months (95% CI, 10.4 months to not reached [NR]), with 35 events. The median time to progression was 14.5 months (95% CI, 10.5 months to NR), with 33 events.	Treatment was well tolerated; main side effects were grade 3 hand–foot syndrome (22%), grade =3 diarrhea (9%), and grade =3 hypertension (7%).	clinically active as first-line therapy and well tolerated
DCU08950	Interferon beta 1a: 30 mcg; Methylprednisolone: -	null	Multiple Sclerosis, Relapsing-Remitting	Need further study	Unclear	Phase 2	NCT00676715	G35 Multiple sclerosis	G00-G99  Diseases of the nervous system; G35-G37  Demyelinating diseases of the central nervous system; G35  Multiple sclerosis	In the intention-to-treat population of 218 patients, at week 24, the number of gadolinium-enhancing lesions was 89% (95% CI 68-97; p<0.0001) lower in the 600 mg ocrelizumab group than in the placebo group, and 96% (89-99; p<0.0001) lower in the 2000 mg group. In exploratory analyses, both 600 mg and 2000 mg ocrelizumab groups were better than interferon beta-1a for GEL reduction.	Serious adverse events in two of 54 (4%; 95% CI 3·0-4·4) patients in the placebo group, one of 55 (2%; 1·3-2·3) in the 600 mg ocrelizumab group, three of 55 (5%; 4·6-6·3) in the 2000 mg group, and two of 54 (4%; 3·0-4·4) in the interferon beta-1a group.	effective and well tolerated
DCU08953	Losartan: 100 mg; Nebivolol: 10 mg	null	Marfan Syndrome	Efficacious	Unclear	Phase 3	NCT00683124	"Q87.4 Marfan's syndrome"	"Q00-Q99   Congenital malformations, deformations and chromosomal abnormalities; Q80-Q89  Other congenital malformations; Q87  Other specified congenital malformation syndromes affecting multiple systems; Q87.4 Marfan's syndrome"	null	null	null
DCU08956	Gefitinib: 250 mg; Sunitinib: 37.5 mg	null	Carcinoma, Renal Cell	Efficacious	Unclear	Phase 1/2	NCT00113529	C64.9 Malignant neoplasm of unspecified kidney, except renal pelvis	C00-D48  Neoplasms; C64-C68  Malignant neoplasms of urinary tract; C64  Malignant neoplasm of kidney, except renal pelvis; C64.9 Malignant neoplasm of unspecified kidney, except renal pelvis	null	null	null
DCU08958	Aliskiren: 300 mg; Hydrochlorothiazide: 12.5-25 mg; Valsartan: 320 mg	null	Hypertension	Efficacious	Unclear	Phase 3	NCT00386607	I10 Essential (primary) hypertension	I00-I99  Diseases of the circulatory system; I10-I15  Hypertensive diseases; I10  Essential (primary) hypertension	null	null	null
DCU08976	Rosiglitazone: 8 mg; Sulfonylurea: MTD	null	Diabetes Mellitus, Type 2	Efficacious	Unclear	Phase 3	NCT00379769	E11 Type 2 diabetes mellitus	E00-E90  Endocrine, nutritional and metabolic diseases; E10-E14  Diabetes mellitus; E11  Non-insulin-dependent diabetes mellitus	null	null	null
DCU08978	Niacin/laropiprant: 2 g	null	Primary Hypercholesterolemia	Efficacious	Unclear	Phase 3	NCT00479388	E78.0 Pure hypercholesterolemia	E00-E90  Endocrine, nutritional and metabolic diseases; E70-E90  Metabolic disorders; E78  Disorders of lipoprotein metabolism and other lipidaemias; E78.0 Pure hypercholesterolemia	null	null	null
DCU08996	Insulin glargine: -; Metformin: 2 g/d	null	Type 2 Diabetic Patients	Efficacious	Unclear	Phase 4	NCT00941148	E11  Type 2 diabetes mellitus	E00-E90  Endocrine, nutritional and metabolic diseases; E10-E14  Diabetes mellitus; E11  Non-insulin-dependent diabetes mellitus	null	null	null
DCU10487	Guanethidine monosulfate: 10 mg; Hydrochlorothiazide: 25 mg	tablet;oral	Hypertension	Efficacious	null	Approved	FDA orange book	I10 Essential (primary) hypertension	I00-I99  Diseases of the circulatory system; I10-I15  Hypertensive diseases; I10  Essential (primary) hypertension	null	null	null
DCU10488	Hydralazine hydrochloride: 25 mg; Hydrochlorothiazide: 25 mg	capsule;oral	Several disorders including edema, hypertension, diabetes insipidus, and hypoparathyroidism.	Efficacious	null	Approved	FDA orange book	E23.2 Diabetes insipidus; E20 Hypoparathyroidism; R60 Edema, not elsewhere classified	E00-E90  Endocrine, nutritional and metabolic diseases; E20-E35  Disorders of other endocrine glands; E23  Hypofunction and other disorders of pituitary gland; E23.2 Diabetes insipidus | E00-E90  Endocrine, nutritional and metabolic diseases; E20-E35  Disorders of other endocrine glands; E20  Hypoparathyroidism | R00-R99   Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified; R50-R69  General symptoms and signs; R60  Edema, not elsewhere classified	null	null	null
DCU10489	Hydralazine hydrochloride: 100 mg; Hydrochlorothiazide: 50 mg	capsule;oral	Several disorders including edema, hypertension, diabetes insipidus, and hypoparathyroidism.	Efficacious	null	Approved	FDA orange book	E23.2 Diabetes insipidus; E20 Hypoparathyroidism; R60 Edema, not elsewhere classified	E00-E90  Endocrine, nutritional and metabolic diseases; E20-E35  Disorders of other endocrine glands; E23  Hypofunction and other disorders of pituitary gland; E23.2 Diabetes insipidus | E00-E90  Endocrine, nutritional and metabolic diseases; E20-E35  Disorders of other endocrine glands; E20  Hypoparathyroidism | R00-R99   Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified; R50-R69  General symptoms and signs; R60  Edema, not elsewhere classified	null	null	null
DCU10490	Hydralazine hydrochloride: 25 mg; Hydrochlorothiazide: 15 mg	tablet;oral	Several disorders including edema, hypertension, diabetes insipidus, and hypoparathyroidism.	Efficacious	null	Approved	FDA orange book	E23.2 Diabetes insipidus; E20 Hypoparathyroidism; R60 Edema, not elsewhere classified	E00-E90  Endocrine, nutritional and metabolic diseases; E20-E35  Disorders of other endocrine glands; E23  Hypofunction and other disorders of pituitary gland; E23.2 Diabetes insipidus | E00-E90  Endocrine, nutritional and metabolic diseases; E20-E35  Disorders of other endocrine glands; E20  Hypoparathyroidism | R00-R99   Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified; R50-R69  General symptoms and signs; R60  Edema, not elsewhere classified	null	null	null
DCU10491	Hydralazine hydrochloride: 25 mg; Hydrochlorothiazide: 15 mg; Reserpine: 0.1 mg	tablet;oral	Hypertension	Efficacious	null	Approved	FDA orange book	I10 Essential (primary) hypertension	I00-I99  Diseases of the circulatory system; I10-I15  Hypertensive diseases; I10  Essential (primary) hypertension	null	null	null
DCU10493	Hydralazine hydrochloride: 25 mg; Reserpine: 0.1 mg	tablet;oral	Hypertension	Efficacious	null	Approved	FDA orange book	I10 Essential (primary) hypertension	I00-I99  Diseases of the circulatory system; I10-I15  Hypertensive diseases; I10  Essential (primary) hypertension	null	null	null
DCU10494	Hydrochlorothiazide: 25 mg; Labetalol hydrochloride: 200 mg	tablet;oral	Hypertension	Efficacious	null	Approved	FDA orange book	I10 Essential (primary) hypertension	I00-I99  Diseases of the circulatory system; I10-I15  Hypertensive diseases; I10  Essential (primary) hypertension	null	null	null
DCU10495	Hydrochlorothiazide: 25 mg; Labetalol hydrochloride: 300 mg	tablet;oral	Hypertension	Efficacious	null	Approved	FDA orange book	I10 Essential (primary) hypertension	I00-I99  Diseases of the circulatory system; I10-I15  Hypertensive diseases; I10  Essential (primary) hypertension	null	null	null
DCU10496	Hydrochlorothiazide: 25 mg; Pindolol: 5 mg	tablet;oral	Hypertension	Efficacious	null	Approved	FDA orange book	I10 Essential (primary) hypertension	I00-I99  Diseases of the circulatory system; I10-I15  Hypertensive diseases; I10  Essential (primary) hypertension	null	null	null
DCU10497	Hydrochlorothiazide: 25 mg; Pindolol: 10 mg	tablet;oral	Hypertension	Efficacious	null	Approved	FDA orange book	I10 Essential (primary) hypertension	I00-I99  Diseases of the circulatory system; I10-I15  Hypertensive diseases; I10  Essential (primary) hypertension	null	null	null
DCU10498	Hydrochlorothiazide: 50 mg; Reserpine: 0.125 mg	tablet;oral	Hypertension	Efficacious	null	Approved	FDA orange book	I10 Essential (primary) hypertension	I00-I99  Diseases of the circulatory system; I10-I15  Hypertensive diseases; I10  Essential (primary) hypertension	null	null	null
DCU10499	Hydrochlorothiazide: 25 mg; Reserpine: 0.125 mg	tablet;oral	Hypertension	Efficacious	null	Approved	FDA orange book	I10 Essential (primary) hypertension	I00-I99  Diseases of the circulatory system; I10-I15  Hypertensive diseases; I10  Essential (primary) hypertension	null	null	null
DCU10500	Hydrochlorothiazide: 25 mg; Timolol maleate: 10 mg	tablet;oral	Hypertension	Efficacious	null	Approved	FDA orange book	I10 Essential (primary) hypertension	I00-I99  Diseases of the circulatory system; I10-I15  Hypertensive diseases; I10  Essential (primary) hypertension	null	null	null
DCU10501	Hydrocodone bitartrate: 5mg/5ml; Phenylpropanolamine hydrochloride: 25mg/5ml	syrup;oral	Pain	Efficacious	null	Approved	FDA orange book	R52 Pain, unspecified	R00-R99   Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified; R50-R69  General symptoms and signs; R52  Pain, unspecified	null	null	null
DCU10502	Hydrocodone bitartrate: 5mg/5ml; Pseudoephedrine hydrochloride: 60mg/5ml	solution;oral	Cough and nasal congestion	Efficacious	null	Approved	FDA orange book	R05 Cough; R09.81 Nasal congestion	R00-R99   Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified; R00-R09  Symptoms and signs involving the circulatory and respiratory systems; R05  Cough | R00-R99   Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified; R00-R09  Symptoms and signs involving the circulatory and respiratory systems; R09  Other symptoms and signs involving the circulatory and respiratory system; R09.81 Nasal congestion	null	null	null
DCU10503	Hydrocortisone acetate: 1%; Neomycin sulfate: eq 3.5mg base/gm	cream;topical	Inflammation and infection of the eye, rhinitis, sinusitis, otitis externa.	Efficacious	null	Approved	FDA orange book	B96.89 Other specified bacterial agents as the cause of diseases classified elsewhere	A00-B99  Certain infectious and parasitic diseases; B95-B98  Bacterial, viral and other infectious agents; B96  Other specified bacterial agents as the cause of diseases classified to other chapters; B96.89 Other specified bacterial agents as the cause of diseases classified elsewhere	null	null	null
DCU08998	Cisplatin: 60 mg/m2; S-1: 40 mg/m2	null	Metastatic Biliary Cancer	Efficacious	Unclear	Phase 2	NCT01375972	C22.1 Intrahepatic bile duct carcinoma	C00-D48  Neoplasms; C15-C26  Malignant neoplasms of digestive organs; C22  Malignant neoplasm of liver and intrahepatic bile ducts; C22.1 Intrahepatic bile duct carcinoma	null	null	null
DCU09022	Gemcitabine: 1g/m2; Sorafenib: 400 mg; Capecitabine: 1g/m2	null	Breast Cancer	Efficacious	Unclear	Phase 2	NCT00493636	C50 Malignant neoplasms of breast	C00-D48  Neoplasms; C50-C50  Malignant neoplasm of breast; C50  Malignant neoplasm of breast	null	null	null
DCU09032	Acetylcysteine: 150 mg/kg; Prednisolone: 40 mg/d	null	Alcoholic Hepatitis	Efficacious	Unclear	Phase 3	NCT00863785	K70.1 Alcoholic hepatitis	K00-K93   Diseases of the digestive system; K70-K77  Diseases of liver; K70  Alcoholic liver disease; K70.1 Alcoholic hepatitis	null	null	null
DCU09037	null	null	Cardiac Arrest	Efficacious	Unclear	Phase 3	NCT00729794	I46.9 Cardiac arrest, cause unspecified	I00-I99  Diseases of the circulatory system; I30-I52  Other forms of heart disease; I46  Cardiac arrest; I46.9 Cardiac arrest, cause unspecified	null	null	null
DCU09047	Ezetimibe: 10 mg; Niacin: 1-2 g	null	Atherosclerosis	Efficacious	Unclear	Phase 4	Literature curated	I70.9 Other and unspecified atherosclerosis	I00-I99  Diseases of the circulatory system; I70-I79  Diseases of arteries, arterioles and capillaries; I70  Atherosclerosis; I70.9 Other and unspecified atherosclerosis	null	null	null
DCU09048	Folic acid: 400 mg; Metformin: 1.7 g	null	Polycystic Ovary Syndrome	Efficacious	Unclear	Phase 4	NCT00953355	E28.2 Polycystic ovarian syndrome	E00-E90  Endocrine, nutritional and metabolic diseases; E20-E35  Disorders of other endocrine glands; E28  Ovarian dysfunction; E28.2 Polycystic ovarian syndrome	null	null	null
DCU09049	Chloroquine: 50 mg/kg; Artemether/lumefantrine: -	null	Malaria, Falciparum	Need further study	Unclear	Phase 4	NCT00426439	B54 Unspecified malaria	A00-B99  Certain infectious and parasitic diseases; B50-B64  Protozoal diseases; B54  Unspecified malaria	null	null	null
DCU09054	Cytarabine: 100 mg/m2; Daunorubicin: 45 mg/m2	null	Leukemia	Non-efficacious	Unclear	Phase 3	NCT00085709	C92.00 Acute myeloid leukemia	C00-D48  Neoplasms; C81-C96  Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue; C92  Myeloid leukaemia; C92.00 Acute myeloid leukemia	The polymerase chain reaction-adjusted day 28 and 42 treatment efficacies were 162 (97%) of 168 and 155 (97%) of 161, respectively, for artemether-lumefantrine and 150 (95%) of 158 and 138 (94%) of 148, respectively, for chloroquine.	null	active
DCU09056	Cytarabine: 200 mg/m2; Daunorubicin: 80 mg/m2	null	Acute Myeloid Leukemia	Efficacious	Unclear	Phase 3	NCT00931138	C92.00 Acute myeloid leukemia	C00-D48  Neoplasms; C81-C96  Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue; C92  Myeloid leukaemia; C92.00 Acute myeloid leukemia	null	null	null
